code
EURATOM
AGRI
BUDG
CLIMA
COMMU
CNECT
COMP
DEVCO
DIGIT
DGT
ECFIN
EAC
ECHO
EEAS
EMPL
ENER
ENV
EPSC
EPSO
ESTAT
FISMA
FPI
GROW
HR
HOME
IAS
IGS
JRC
JUST
MARE
MOVE
NEAR
OLAF
PMO
PUBL
REGIO
RTD
SANTE
SG
SJ
SCIC
TAXUD
TRADE
