code,label,label_bg,label_cs,label_da,label_de,label_el,label_es,label_et,label_fi,label_fr,label_ga,label_hr,label_hu,label_it,label_lt,label_lv,label_mt,label_nl,label_pl,label_pt-pt,label_ro,label_sk,label_sl,label_sv
LOCAL,Local,Местен,místní,Lokal,Lokal,Τοπικό,Local,Kohalik,Paikallinen,Niveau local,Áitiúil,lokalni,Helyi,Locale,Vietinis,Vietējs,Lokali,Lokaal,Lokalny,Local,Local,Miestna,Lokalno,Lokalt
REGIONAL,Regional,Регионален,regionální,Regional,Regional,Περιφερειακό,Regional,Piirkondlik,Alueellinen,Niveau régional,Réigiúnach,regionalni,Regionális,Regionale,Regioninis,Reģionāls,Reġjonali,Regionaal,Regionalny,Regional,Regional,Regionálna,Regionalno,Regionalt
NATIONAL,National,Национален,celostátní,National,National,Εθνικό,Nacional,Riiklik,Valtakunnallinen,Niveau national,Náisiúnta,nacionalni,Nemzeti,Nazionale,Nacionalinis,Valsts,Nazzjonali,Nationaal,Krajowy,Nacional,Național,Národná,Nacionalno,Nationellt
INTERNATIONAL,International,Международен,mezinárodní,International,International,Διεθνές,Internacional,Rahvusvaheline,Kansainvälinen,Niveau international,Idirnáisiúnta,međunarodni,Nemzetközi,Internazionale,Tarptautinis,Starptautisks,Internazzjonali,Internationaal,Międzynarodowy,Internacional,Internațional,Medzinárodná,Mednarodno,Internationellt
